"OWINGSVILLE NO. 2" ,6-21-072-6,575,206,36,15,3,0,0,0,0,405,430,835,B102
"OWINGSVILLE NO. 3" ,6-21-072-6,1211,439,55,20,3,0,0,0,0,791,937,1728,B103
"PRESTON" ,6-21-072-6,648,333,45,17,1,0,0,1,0,537,507,1045,B104
"SALT LICK NO. 1" ,6-21-072-6,626,237,27,14,1,0,1,0,0,434,471,906,C101
"SALT LICK NO. 2" ,6-21-072-6,674,257,50,24,1,1,0,0,1,501,506,1008,C102
"WHITE SULPHUR" ,6-21-072-6,412,123,22,7,1,0,0,0,0,287,278,565,C103
"OLYMPIA" ,6-21-072-6,439,160,29,7,1,1,0,0,1,312,325,638,C104
"PAGE" ,5-30-087-3,265,474,33,3,4,0,0,0,0,369,410,779,A101
"BLACKMONT" ,5-30-087-3,311,338,25,4,0,0,0,0,0,347,330,678,A102
"BROWNIES CREEK" ,5-30-087-3,150,330,13,4,1,0,3,0,0,243,258,501,A103
"HUTCH" ,5-30-087-3,149,354,21,4,1,0,0,0,0,256,273,529,A104
"MELDRUM" ,5-30-087-3,375,592,55,17,1,0,1,0,0,481,559,1041,A105
"PINEVILLE EAST" ,5-30-087-3,233,202,16,6,2,0,0,0,0,195,263,459,B101
"PINEVILLE CENTRAL" ,5-30-087-3,120,305,11,2,2,0,0,0,0,207,230,440,B102
"PINEVILLE WEST" ,5-30-087-3,169,326,12,10,1,0,0,0,0,234,281,518,B103
"ARJAY" ,5-30-087-3,386,310,14,4,0,0,0,0,0,350,364,714,B104
"DORTON BRANCH" ,5-30-087-3,150,175,13,5,2,0,0,0,0,166,179,345,B105
"BEVERLY" ,5-30-087-3,34,55,6,1,0,0,0,0,0,41,55,96,B106
"RIGHT FORK" ,5-30-087-3,201,595,19,6,0,0,0,0,0,412,409,821,B107
"STRAIGHT CREEK" ,5-30-087-3,233,255,18,3,1,0,0,0,0,234,275,510,B108
"BINGHAMTOWN" ,5-30-087-3,279,431,56,10,2,0,0,0,0,359,417,778,C101
"DORCHESTER" ,5-30-087-3,280,366,34,6,0,0,0,1,0,300,386,687,C102
"NOETOWN" ,5-30-087-3,299,394,45,16,0,0,0,0,0,339,413,754,C103
"JUNCTION" ,5-30-087-3,463,549,65,22,2,0,0,0,0,470,630,1101,C104
"EDGEWOOD" ,5-30-087-3,506,784,77,27,3,0,0,0,0,670,725,1397,C105
"CITY HALL" ,5-30-087-3,263,343,44,11,1,0,0,0,0,334,328,662,D101
"EAST END" ,5-30-087-3,497,608,71,29,4,0,0,1,0,520,688,1210,D102
"WINCHESTER" ,5-30-087-3,280,348,40,18,0,0,0,0,0,321,365,686,D103
"SOUTHSIDE" ,5-30-087-3,278,226,34,7,0,1,1,0,0,251,296,547,D104
"WEST CENTRAL" ,5-30-087-3,210,342,33,13,1,0,0,0,0,273,326,599,D105
"EXETER" ,5-30-087-3,414,545,53,12,1,0,0,0,0,466,557,1025,D106
"LAUREL A" ,5-30-087-3,316,545,34,11,0,0,0,0,0,439,466,906,E101
"LAUREL B" ,5-30-087-3,99,346,19,7,0,0,0,0,0,218,252,471,E102
"LONE JACK" ,5-30-087-3,208,343,19,9,2,0,0,0,0,294,287,581,E103
"GREASY CREEK" ,5-30-087-3,274,486,17,10,1,0,0,0,0,376,411,788,E104
"CLEAR CREEK" ,5-30-087-3,161,493,26,3,0,0,0,0,0,359,324,683,E105
"SUTTY" ,5-30-087-3,230,494,30,4,0,0,0,0,0,387,368,758,E106
"BELLEVIEW" ,4-11-060-6,195,508,63,33,2,0,0,0,0,395,406,801,A102
"BULLITTSVILLE" ,4-11-066-6,493,1310,151,92,17,1,0,0,0,1031,1033,2064,A103
"BURLINGTON #1" ,4-11-066-6,524,1194,160,95,14,1,0,0,1,980,1009,1989,A104
"BURLINGTON #2" ,4-11-060-6,223,663,86,49,3,2,0,0,1,518,509,1027,A105
"CARLTON" ,4-11-060-6,251,532,77,32,5,0,0,0,0,454,443,897,A106
"CONSTANCE" ,4-11-063-6,291,518,113,49,12,2,1,0,0,487,499,986,A107
"HEBRON #1" ,4-11-066-6,645,1079,165,86,17,2,3,0,0,935,1062,1997,A108
"HEBRON #2" ,4-11-066-6,705,1222,192,97,12,5,3,0,1,1122,1115,2237,A109
"PETERSBURG" ,4-11-066-6,287,612,93,35,8,0,0,0,0,515,520,1035,A110
"BURLINGTON #3" ,4-11-066-6,878,1191,238,117,15,2,3,0,0,1118,1324,2444,A111
"BURLINGTON #4" ,4-11-066-6,342,748,114,62,11,0,0,0,0,616,661,1277,A112
"BURLINGTON #5" ,4-11-066-6,898,1305,225,125,12,0,2,0,2,1228,1338,2569,A113
"HEBRON #3" ,4-11-066-6,667,1630,174,152,14,2,0,0,0,1279,1360,2639,A114
"BURLINGTON #6" ,4-11-066-6,740,1286,225,124,15,0,1,0,0,1167,1224,2391,A115
"BURLINGTON #7" ,4-11-066-6,318,612,106,47,4,0,0,0,0,539,548,1087,A116
"HEBRON #4" ,4-11-066-6,661,1601,175,158,8,0,1,0,0,1292,1311,2604,A117
"HAMILTON" ,4-11-060-6,319,881,86,58,4,0,0,0,0,683,665,1348,A118
"LIMABURG" ,4-11-063-6,309,421,93,38,3,1,0,0,0,380,485,865,A119
"BURLINGTON #8" ,4-11-060-6,575,1475,153,86,10,1,0,0,1,1160,1141,2301,A120
"HEBRON 5" ,4-11-066-6,744,1821,185,171,9,0,0,0,0,1454,1475,2930,A121
"BURLINGTON #9" ,4-11-066-6,472,843,137,64,5,1,0,0,0,701,821,1522,A122
"CAMP ERNST" ,4-11-066-6,688,1315,204,116,17,4,1,0,0,1178,1167,2345,A123
"BEAVER" ,4-11-060-6,328,951,98,45,8,1,0,0,0,702,729,1431,B114
"GLENVIEW" ,4-11-066-6,301,578,92,65,9,0,1,0,0,504,542,1046,B115
"GREENVIEW" ,4-11-063-6,461,787,124,64,9,1,1,0,0,715,732,1447,B116
"HOPEFUL" ,4-11-066-6,675,1171,195,100,19,1,0,0,0,1056,1105,2161,B117
"LINKVIEW" ,4-11-066-6,308,522,71,57,4,0,0,0,0,430,532,962,B118
"OAKBROOK" ,4-11-063-6,347,595,106,73,11,2,1,0,0,536,599,1135,B119
"PLEASANT VALLEY" ,4-11-066-6,349,749,103,61,6,1,0,0,0,630,639,1269,B120
"RICHWOOD" ,4-11-060-6,869,1932,240,161,20,3,1,0,0,1577,1649,3226,B121
"UNION # 1" ,4-11-060-6,542,1288,142,120,7,3,1,0,0,1063,1040,2103,B122
"UNION # 2" ,4-11-060-6,940,1834,214,173,16,2,1,1,0,1504,1676,3181,B123
"UNION # 3" ,4-11-060-6,558,1196,143,99,13,1,0,1,1,1000,1012,2012,B124
"UNION # 4" ,4-11-060-6,661,1278,172,121,20,2,1,0,0,1120,1135,2255,B125
"VERONA" ,4-11-061-6,359,950,89,63,10,0,1,0,0,744,728,1472,B126
"WALTON #1" ,4-11-060-6,669,1394,210,124,23,2,0,0,1,1180,1243,2423,B127
"WALTON #2" ,4-11-060-6,502,1038,150,87,9,2,0,0,0,838,950,1788,B128
"UNION 5" ,4-11-060-6,517,1171,144,91,15,2,0,0,0,968,972,1940,B129
"UNION 6" ,4-11-060-6,566,1452,147,104,4,2,0,1,0,1087,1189,2276,B130
"SUMMITVIEW" ,4-11-066-6,589,1147,152,67,14,2,0,0,0,956,1015,1971,B131
"HEARTHSTONE" ,4-11-066-6,711,1378,192,139,12,1,2,0,0,1183,1252,2435,B132
"FLORENCE #15" ,4-11-060-6,695,1406,174,138,8,4,0,0,0,1148,1277,2425,B133
"KENSINGTON" ,4-11-060-6,394,1071,106,71,4,1,1,0,0,810,838,1648,B134
"UNION 7" ,4-11-060-6,575,1592,111,142,12,2,1,0,0,1235,1200,2435,B135
"DEVON #1" ,4-11-060-6,739,1197,198,112,21,2,4,1,0,1125,1148,2274,C102
"DEVON #2" ,4-11-060-6,1145,1347,324,145,18,1,0,0,0,1294,1686,2980,C110
"DEVON #3" ,4-11-060-6,365,760,98,57,7,1,0,0,0,619,669,1288,C117
"SHAMROCK" ,4-11-060-6,830,940,197,113,9,1,2,0,0,986,1106,2092,C121
"AIRPORT" ,4-11-063-6,358,385,89,40,8,0,0,0,0,432,448,880,C123
"FLORENCE #1" ,4-11-069-6,838,756,194,94,14,0,1,0,1,868,1030,1898,C124
"FLORENCE #2" ,4-11-069-6,310,395,97,36,5,0,0,0,0,406,437,843,C125
"FLORENCE #3" ,4-11-069-6,496,371,120,60,8,0,0,0,0,496,559,1055,C126
"FLORENCE #4" ,4-11-069-6,629,690,140,73,7,3,0,0,1,745,796,1543,C127
"FLORENCE #5" ,4-11-069-6,381,440,97,66,3,3,1,0,0,461,530,991,C128
"FLORENCE #6" ,4-11-069-6,420,464,122,59,9,1,0,0,0,521,554,1075,C129
"FLORENCE #7" ,4-11-069-6,783,1043,175,98,12,2,0,0,0,968,1145,2113,C130
"FLORENCE #8" ,4-11-069-6,913,884,247,109,24,3,4,1,0,1088,1097,2185,C131
"FLORENCE # 9" ,4-11-069-6,622,688,175,81,20,1,0,0,0,768,819,1587,C132
"FLORENCE # 10" ,4-11-069-6,347,389,104,37,2,1,0,0,1,410,471,881,C133
"FLORENCE #11" ,4-11-060-6,857,1496,205,149,23,2,0,0,0,1246,1486,2732,C134
"FLORENCE #12" ,4-11-063-6,550,738,123,76,11,1,0,0,0,714,785,1499,C135
"FLORENCE #13" ,4-11-069-6,326,512,79,45,5,0,0,0,0,444,523,967,C136
"FLORENCE #14" ,4-11-066-6,665,1070,126,109,2,1,2,0,0,873,1101,1975,C137
"MILLERSBURG #1" ,6-27-072-5,603,443,47,37,4,1,0,0,0,547,588,1135,B101
"PARIS #4" ,6-27-072-5,448,268,40,21,4,2,0,0,1,365,418,784,B103
"FLAT ROCK" ,6-27-072-5,359,298,25,28,0,1,1,0,0,355,357,712,C101
"PARIS #1" ,6-27-072-5,175,113,7,7,0,0,0,0,0,144,158,302,C102
"PARIS 2" ,6-27-072-5,628,338,60,46,9,0,1,0,0,515,567,1082,C103
"NORTH MIDDLETOWN" ,6-27-072-5,613,495,55,48,5,1,0,0,0,581,636,1217,D101
"PARIS 3" ,6-27-072-5,441,259,40,38,1,0,1,0,0,361,419,780,D103
"CLINTONVILLE" ,6-27-072-5,477,466,23,30,5,1,1,0,0,487,516,1003,E101
"PARIS 6" ,6-27-072-5,625,338,29,33,1,0,0,0,0,433,593,1026,E103
"HUTCHISON 1" ,6-27-072-5,441,333,27,26,2,0,0,0,0,379,450,829,F101
"HUTCHISON 2" ,6-27-072-5,511,451,26,28,6,1,1,0,0,481,543,1024,F102
"HUTCHISON 3" ,6-27-072-5,234,264,25,32,1,1,0,0,0,256,301,557,F103
"CENTERVILLE" ,6-27-072-5,498,450,36,41,5,0,0,0,1,503,528,1031,G101
"PARIS #5" ,6-27-072-5,689,381,57,46,3,0,0,0,0,521,655,1176,G102
"RUDDLES MILLS" ,6-27-072-5,548,446,31,44,5,0,0,0,0,526,548,1074,H101
"PARIS #7" ,6-27-072-5,774,259,57,41,3,1,0,0,0,517,618,1135,H102
"CATLETTSBURG" ,4-18-100-7,826,523,71,66,4,1,0,0,0,714,776,1491,A101
"RUSH" ,5-18-100-7,256,319,14,22,1,1,0,0,1,296,318,614,A105
