-- This file was modified from its original using excel.  the OTH column is the sum of columns C,E,F,G,H,K,L,O,P,V,W,N,U
-- We will use District, Precinct, AKI, DEM, REP, and OTH; OTH+AKI+DEM+REP should equal Voters in this file.
District,Precinct,Voters,AKI,DEM,REP,C,E,F,G,H,K,L,O,P,V,W,N,U,OTH
DISTRICT 10,10-020 HOUSTON,1700,57,92,507,2,0,0,6,0,0,16,0,1,2,1,173,843,1045
DISTRICT 10,10-025 MEADOW LAKES NO. 3,1590,63,79,525,4,0,0,1,0,0,26,0,1,3,0,180,708,926
DISTRICT 10,10-030 SUSITNA,1476,66,111,448,3,0,0,4,0,0,18,0,3,3,0,228,592,854
DISTRICT 10,10-035 TALKEETNA,1158,51,194,230,1,0,0,13,1,0,12,1,0,0,0,218,437,683
DISTRICT 10,10-040 TRAPPER CREEK,638,34,42,204,1,0,0,1,0,0,9,0,0,0,0,101,246,358
DISTRICT 10,10-045 WILLOW,2191,80,130,732,3,3,0,7,0,0,21,0,0,5,0,337,873,1254
DISTRICT 10,10-050 MEADOW LAKES NO. 4,940,25,64,296,1,2,0,3,0,0,10,0,0,5,0,79,455,560
DISTRICT 10,10-055 LAKES NO. 2,1294,50,70,483,0,0,0,1,0,0,20,1,0,6,1,151,511,696
DISTRICT 11,11-055 WALBY,2409,51,162,893,2,1,0,6,0,0,32,0,2,4,0,319,937,1307
DISTRICT 11,11-060 GREATER PALMER,1806,45,141,668,1,1,0,0,0,0,22,0,0,4,0,235,689,956
DISTRICT 11,11-065 MAT-SU CAMPUS,1115,26,79,370,2,0,0,0,1,0,9,0,0,2,0,160,466,642
DISTRICT 11,11-070 PALMER CITY NO. 1,2647,71,247,701,2,1,0,3,0,0,34,2,0,5,0,416,1165,1633
DISTRICT 11,11-075 PALMER CITY NO. 2,2326,78,222,615,0,2,0,7,2,0,29,0,3,10,2,283,1073,1419
DISTRICT 11,11-085 TRUNK,1811,50,121,694,5,1,0,2,1,0,22,0,0,6,1,226,682,951
DISTRICT 11,11-090 SEWARD MERIDIAN,1219,37,77,424,4,0,0,4,0,0,13,0,0,1,0,150,509,682
